Link, AS_chicon, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chicon_link_4_UP, AS_chicon_backbone, 5559
Link, AS_chicon, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chicon_link_11_DOWN, AS_chicon_backbone, 5560
Link, AS_chicon, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chicon_link_8_UP, AS_chicon_backbone, 5563
Link, AS_chicon, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chicon_link_23_DOWN, AS_chicon_backbone, 5564
Link, AS_chicon, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chicon_link_15_DOWN, AS_chicon_backbone, 5565
Link, AS_chicon, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chicon_link_19_DOWN, AS_chicon_backbone, 5568
Link, AS_chicon, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chicon_link_10_UP, AS_chicon_backbone, 5569
Link, AS_chicon, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chicon_link_20_UP, AS_chicon_backbone, 5570
Link, AS_chicon, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chicon_link_14_UP, AS_chicon_backbone, 5572
Link, AS_chicon, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chicon_link_24_UP, AS_chicon_backbone, 5573
Link, AS_chicon, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chicon_link_4_DOWN, AS_chicon_backbone, 5575
Link, AS_chicon, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chicon_link_18_UP, AS_chicon_backbone, 5576
Link, AS_chicon, L2-LINK11-LINK11, 0.000000, 0.000000, 0.000000, topology, AS_chicon_link_8_DOWN, AS_chicon_backbone, 5577
