State, 100030591, MAP, 16.687684, 17.212765, 0.525081, 0.000000, START
State, 100030591, MAP, 17.212765, 17.309403, 0.096638, 0.000000, START
State, 100030591, MAP, 17.309403, 19.032755, 1.723352, 0.000000, START
State, 100030591, MAP, 19.032755, 19.860464, 0.827709, 0.000000, START
State, 100030591, MAP, 19.860464, 20.412251, 0.551787, 0.000000, START
State, 100030591, MAP, 20.412251, 20.920548, 0.508297, 0.000000, START
State, 100030591, MAP, 20.920548, 90.218568, 69.298020, 0.000000, START
State, 100030591, MAP, 90.218568, 90.672987, 0.454419, 0.000000, START
State, 100030591, MAP, 90.672987, 90.882832, 0.209845, 0.000000, START
State, 100030591, MAP, 90.882832, 91.628345, 0.745513, 0.000000, START
State, 100030591, MAP, 91.628345, 105.254996, 13.626651, 0.000000, START
State, 100030591, MAP, 105.254996, 106.082705, 0.827709, 0.000000, START
State, 100030591, MAP, 106.082705, 106.634493, 0.551788, 0.000000, START
State, 100030591, MAP, 106.634493, 120.291424, 13.656931, 0.000000, START
State, 100030591, MAP, 120.291424, 135.327852, 15.036428, 0.000000, START
State, 100030591, MAP, 135.327852, 136.073364, 0.745512, 0.000000, START
State, 100030591, MAP, 136.073364, 136.376761, 0.303397, 0.000000, START
State, 100030591, MAP, 136.376761, 180.437136, 44.060375, 0.000000, START
State, 100030591, MAP, 180.437136, 818.707375, 638.270239, 0.000000, END
State, 100030591, REDUCE, 60.145712, 61.869064, 1.723352, 0.000000, START
State, 100030591, REDUCE, 61.869064, 62.696773, 0.827709, 0.000000, START
State, 100030591, REDUCE, 62.696773, 210.509992, 147.813219, 0.000000, START
State, 100030591, REDUCE, 210.509992, 211.061780, 0.551788, 0.000000, START
State, 100030591, REDUCE, 211.061780, 211.570077, 0.508297, 0.000000, START
State, 100030591, REDUCE, 211.570077, 212.024496, 0.454419, 0.000000, START
State, 100030591, REDUCE, 212.024496, 212.234341, 0.209845, 0.000000, START
State, 100030591, REDUCE, 212.234341, 212.836687, 0.602346, 0.000000, START
State, 100030591, REDUCE, 212.836687, 225.546420, 12.709733, 0.000000, START
State, 100030591, REDUCE, 225.546420, 226.374129, 0.827709, 0.000000, START
State, 100030591, REDUCE, 226.374129, 226.882426, 0.508297, 0.000000, START
State, 100030591, REDUCE, 226.882426, 811.967112, 585.084686, 0.000000, START
State, 100030591, REDUCE, 811.967112, 818.707375, 6.740263, 0.000000, END
